,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
620,汐止國中,大同路二段394號對向(向東),316460.6237,2773371.484,121.658766,25.067099,公車站,交通便利設施,blue
621,黃昏市場,新北市汐止區秀峰路17-39號,316532.4574,2773183.48,121.6594689,25.0653986,公車站,交通便利設施,blue
622,秀峰高中(忠孝東路),忠孝東路208號對面候車亭,316762.9511,2773277.698,121.661758,25.066239,公車站,交通便利設施,blue
623,汐止火車站(忠孝東路),忠孝東路265號,316923.4223,2773472.775,121.663358,25.067993,公車站,交通便利設施,blue
624,摩登家庭社區,忠孝東路(向南),317181.6842,2773902.824,121.6659388,25.07186389,公車站,交通便利設施,blue
625,橋東,橋東(新巴士),317203.4534,2774095.795,121.666164,25.073605,公車站,交通便利設施,blue
626,崇義高中,大同路三段71號同向(向東),317341.5216,2774466.653,121.6675507,25.07694684,公車站,交通便利設施,blue
627,三重里,台北市南港區松河街重陽路口東北側50公尺(向西),311580.9971,2772506.674,121.6103621,25.0594984,公車站,交通便利設施,blue
628,育成高中,重陽路421號(向西),311475.3545,2772453.662,121.6093127,25.05902412,公車站,交通便利設施,blue
629,南港高工(重陽),重陽路321號(向西),311128.0871,2772342.982,121.605866,25.058039,公車站,交通便利設施,blue
630,東新國小,重陽路237號(向西),310750.8975,2772300.374,121.6021258,25.05766955,公車站,交通便利設施,blue
631,東新國小,重陽路198號東側50公尺(興南公園前)(向東),310742.38,2772278.058,121.6020404,25.05746843,公車站,交通便利設施,blue
632,育成高中,重陽路336號同向(向東),311482.5682,2772442.563,121.6093837,25.05892363,公車站,交通便利設施,blue
633,園區街,園區街3號同向(向東),311823.0713,2772443.896,121.6127585,25.05892177,公車站,交通便利設施,blue
634,南港軟體園區北站,三重路19-14號(向南),311957.0821,2772408.646,121.6140851,25.05859806,公車站,交通便利設施,blue
635,捷運南港展覽館站(南港路),南港路23號對面(向東),312350.4398,2771998.453,121.6179651,25.05487875,公車站,交通便利設施,blue
636,橫科,大同路一段4號同向(向東),312695.0244,2771994.631,121.62138,25.05483,公車站,交通便利設施,blue
637,南樟樹灣,大同路一段282號同向(向東),314021.4689,2772296.542,121.63454,25.0575,公車站,交通便利設施,blue
638,快速道路上(不停靠),虛擬站,312615.8982,2771719.561,121.6205833,25.05235,公車站,交通便利設施,blue
639,南港軟體園區北站,三重路19-14號(向南),311957.0821,2772408.646,121.6140851,25.05859806,公車站,交通便利設施,blue
640,南港軟體園區南站,三重路19-10號(向南),311944.0262,2772170.699,121.613945,25.05645046,公車站,交通便利設施,blue
641,橫科,大同路一段4號同向(向東),312695.0244,2771994.631,121.62138,25.05483,公車站,交通便利設施,blue
642,富信飯店,大同路一段149號同向(向東),313769.3172,2772146.377,121.632034,25.056155,公車站,交通便利設施,blue
643,遠東世界中心,(向東),315231.4952,2772661.477,121.6465497,25.06074281,公車站,交通便利設施,blue
644,東方科學園區,新台五路汐止家樂福向東18公尺同向(向東),315444.2549,2772695.416,121.64866,25.06104,公車站,交通便利設施,blue
645,連興街口,新台五路156號同向(向東),315996.4592,2772842.076,121.65414,25.06234,公車站,交通便利設施,blue
646,汐止農會,新台五路二段220號同向(向西),316183.5855,2772953.309,121.656,25.063336,公車站,交通便利設施,blue
647,樟樹灣,大同路一段503號同向(向東),314375.8008,2772473.225,121.63806,25.05908,公車站,交通便利設施,blue
648,聯合報總部,大同路一段415號對向(向東),314751.0897,2772654.226,121.641788,25.060698,公車站,交通便利設施,blue
649,昊天嶺,大同路一段511號同向(向東),315114.7425,2772819.009,121.6454,25.06217,公車站,交通便利設施,blue
650,汐科站北站,大同路二段200號同向(向東),315800.7577,2773043.84,121.65221,25.06417,公車站,交通便利設施,blue
651,汐止國小,大同路二段329-343號對向(向東),316073.2598,2773275.669,121.654922,25.066251,公車站,交通便利設施,blue
652,汐止國中,大同路二段394號對向(向東),316460.6237,2773371.484,121.658766,25.067099,公車站,交通便利設施,blue
653,汐止,大同路二段535號同向(向東),316787.8437,2773592.518,121.66202,25.06908,公車站,交通便利設施,blue
654,長安里,大同路三段257號同向(向東),317908.9162,2774366.8,121.67317,25.07602,公車站,交通便利設施,blue
655,保安里,大同路三段355號同向(向東),318119.9791,2774033.187,121.6752456,25.07299875,公車站,交通便利設施,blue
656,保長坑,大同路三段348號同向(向東),318610.7668,2773826.429,121.6801,25.07111,公車站,交通便利設施,blue
657,亞太科技園區,大同路三段430號(向南),318935.412,2774009.176,121.683327,25.072745,公車站,交通便利設施,blue
658,基隆市界,基隆市七堵區明德三路115號對面,319188.1162,2774315.297,121.6858472,25.075497,公車站,交通便利設施,blue
659,汐止,新北市汐止區大同路二段523號(向南),316754.4075,2773603.061,121.6616891,25.06917666,公車站,交通便利設施,blue
660,汐止公園,大同路二段462號(向西),316576.6658,2773450.807,121.65992,25.06781,公車站,交通便利設施,blue
661,江北橋頭,新北市汐止區汐萬路一段20號,316176.4395,2773436.454,121.6559524,25.067698,公車站,交通便利設施,blue
662,江北社區,新北市汐止區汐萬路一段81號對面,316052.8389,2773700.817,121.65474,25.07009,公車站,交通便利設施,blue
663,電力公司,新北市汐止區新北市汐止區汐萬路一段236號,315741.0789,2774019.436,121.6516651,25.07298,公車站,交通便利設施,blue
664,孝友別墅,新北市汐止區汐萬路一段418巷口,315571.2291,2774566.377,121.6500076,25.077925,公車站,交通便利設施,blue
665,川口,新北市汐止區汐萬路一段409號對面,315495.1725,2774743.022,121.6492621,25.079523,公車站,交通便利設施,blue
666,明園山莊,新北市汐止區汐萬路二段63號同向,315517.5037,2775027.254,121.649497,25.082088,公車站,交通便利設施,blue
667,土巷口,新北市汐止區汐萬路二段114號前,315391.5941,2775261.15,121.64826,25.084205,公車站,交通便利設施,blue
668,烘內派出所,新北市汐止區汐萬路二段232號同向,315241.0779,2775696.753,121.6467886,25.088144,公車站,交通便利設施,blue
669,北港國小,新北市汐止區汐萬路二段275對面,315132.5693,2775846.217,121.64572,25.089498,公車站,交通便利設施,blue
670,拱北殿,新北市汐止區汐萬路三段與八連路一段530巷口對面(向北),314908.8628,2775988.154,121.643509,25.090789,公車站,交通便利設施,blue
671,汐萬路三段,新北市汐止區汐萬路三段31巷口,314874.8171,2776104.965,121.643177,25.091845,公車站,交通便利設施,blue
672,堪農山莊,新北市汐止區汐萬路三段199號旁,314780.7561,2776692.375,121.6422722,25.097152,公車站,交通便利設施,blue
673,烘下,新北市汐止區汐萬路三段250巷口對面,314771.5785,2776859.705,121.6421891,25.098663,公車站,交通便利設施,blue
674,月牙泉,新北市汐止區汐萬路三段217巷口,314934.0212,2777346.65,121.6438226,25.103052,公車站,交通便利設施,blue
675,烘內,新北市汐止區汐萬路三段252巷7號對面,314964.9264,2777519.82,121.6441372,25.104614,公車站,交通便利設施,blue
676,烘內,新北市汐止區汐萬路三段252巷1號,314950.1873,2777520.525,121.6439911,25.104621,公車站,交通便利設施,blue
677,月牙泉,新北市汐止區汐萬路三段217巷對面,314930.7155,2777358.819,121.6437904,25.103162,公車站,交通便利設施,blue
678,烘下,新北市汐止區汐萬路三段250巷口,314756.3844,2776849.885,121.642038,25.098575,公車站,交通便利設施,blue
679,堪農山莊,新北市汐止區汐萬路三段199巷口對面,314758.5402,2776699.802,121.6420523,25.09722,公車站,交通便利設施,blue
680,慈惠堂,新北市汐止區汐萬路三段66號,314962.5716,2776317.287,121.644057,25.093758,公車站,交通便利設施,blue
681,拱北殿,新北市汐止區汐萬路三段與八連路一段530巷口(向南),314888.4557,2775988.278,121.6433067,25.090791,公車站,交通便利設施,blue
